unique_id,street,city,state,zip
LIHTC_CENSUS_0100,2920 NW 18TH AVE.,MIAMI,FL,33142
LIHTC_CENSUS_0101,2940 NW 18TH AVE.,MIAMI,FL,33142
LIHTC_CENSUS_0102,807 WOODLAWN LOOP,CLEARWATER,FL,33756
LIHTC_CENSUS_0103,809 WOODLAWN LOOP,CLEARWATER,FL,33756
LIHTC_CENSUS_0104,100 PEAKS RDG,ACWORTH,GA,30102
LIHTC_CENSUS_0105,4598 CARRUTH ST,ACWORTH,GA,30101
LIHTC_CENSUS_0106,100 PEAKS RIDGE,ACWORTH,GA,30102
LIHTC_CENSUS_0107,100 SANDY LANE,ACWORTH,GA,30102
LIHTC_CENSUS_0108,237 IRWINVILLE RD,ABBEVILLE,GA,31001
LIHTC_CENSUS_0109,465 GREGORY LANE,ACWORTH,GA,30102
LIHTC_CENSUS_0110,962 CARSWELL STREET,HOMERVILLE,GA,31634
LIHTC_CENSUS_0111,78 GLYNN MARSH DRIVE,BRUNSWICK,GA,31525
LIHTC_CENSUS_0112,80 GLYNN MARSH DRIVE,BRUNSWICK,GA,31525
LIHTC_CENSUS_0113,1991 MARTIN LUTHER KING JR DRIVE SW,ATLANTA (FULTON),GA,30310
LIHTC_CENSUS_0114,1999 MARTIN LUTHER KING JR DRIVE SW,ATLANTA (FULTON),GA,30310
LIHTC_CENSUS_0115,91 1471 MIULA STREET,EWA BEACH,HI,96706
LIHTC_CENSUS_0116,400 KINOOLE ST,HILO,HI,96720
LIHTC_CENSUS_0117,4664 KALEPA CIR,HANAMAULU,HI,96766
LIHTC_CENSUS_0118,4690 KALEPA CIR,HANAMAULU,HI,96766
LIHTC_CENSUS_0119,99 009 KALALOA ST,AIEA,HI,96701
LIHTC_CENSUS_0120,119 W LANIKAULA ST,HILO,HI,96720
LIHTC_CENSUS_0121,3815 TRIPP STREET,AMES,IA,50014
LIHTC_CENSUS_0122,214 7TH AVESW,CEDAR RAPIDS,IA,52404
LIHTC_CENSUS_0123,504 VAN FOSSEN LN,ADEL,IA,50003
LIHTC_CENSUS_0124,600 S 12TH ST,ADEL,IA,50003
LIHTC_CENSUS_0125,504 E DAWN ST,LE GRAND,IA,50142
LIHTC_CENSUS_0126,201 LEE STREET A101,AMERICAN FALLS,ID,83201
LIHTC_CENSUS_0127,1451 FALCON DRIVE,AMMON,ID,83406
LIHTC_CENSUS_0128,201 LEE ST,AMERICAN FALLS,ID,83201
LIHTC_CENSUS_0129,1501 FALCON DR,AMMON,ID,83406
LIHTC_CENSUS_0130,10482 WEST UTAHNA ROAD,BOISE,ID,83714
LIHTC_CENSUS_0131,1249 GRAND AVENUE,BOISE,ID,83702
LIHTC_CENSUS_0132,1302 MEGGAN STREET,BLACKFOOT,ID,83221
