development_id,development_anchor_hud_id,hud_id,episode_number,project,proj_add,proj_cty,proj_st,state_id,yr_pis,yr_alloc,n_unitsr,li_unitr,final_decision,final_reason_code,member_action,adjudicated_development_id,adjudicated_development_anchor_hud_id
DEV_CAA20150101,CAA20150101,CAA20150101,1,WILLIAM PENN MANOR,7025 FRIENDS AVENUE,WHITTIER,CA,CA-14-842,2015,2014,75,74,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_CAA20150101,CAA20150101
DEV_CAA20150101,CAA20150101,CAA20156288,2,WILLIAM PENN MANOR,7025 FRIENDS AVE,WHITTIER,CA,CA-14-842,2015,2014,75,74,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_CAA20150101,CAA20150101
DEV_COA19990005,COA19990005,COA19990005,1,ASPEN COUNTRY INN,38996 HWY 82,ASPEN,CO,CO-97-0032,1999,1997,40,39,accept,same_property_recapitalization,retain_provisional_group,DEV_COA19990005,COA19990005
DEV_COA19990005,COA19990005,COA20170004,2,ASPEN COUNTRY INN,38996 HWY. 82,ASPEN,CO,CO-17-04,2017,2016,40,40,accept,same_property_recapitalization,retain_provisional_group,DEV_COA19990005,COA19990005
DEV_COA20060050,COA20060050,COA20060050,1,BELMAR GROVES,259 S TELLER ST,LAKEWOOD,CO,2004503,2006,2007,118,117,accept,same_property_recapitalization,retain_provisional_group,DEV_COA20060050,COA20060050
DEV_COA20060050,COA20060050,COA20240047,2,BELMAR GROVES,259 SOUTH TELLER STREET,LAKEWOOD,CO,CO-24-04,2024,2023,118,118,accept,same_property_recapitalization,retain_provisional_group,DEV_COA20060050,COA20060050
DEV_CTA20123002,CTA20123002,CTA20123002,1,BAYVIEW TOWERS,300 TRESSER BOULEVARD,STAMFORD,CT,CT-11-016,2012,2011,200,190,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CTA20123002,CTA20123002
DEV_CTA20123002,CTA20123002,CTA00000011,2,BAYVIEW TOWERS,300 TRESSER BLVD,STAMFORD,CT,TEMP683,8888,8888,190,190,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CTA20123002,CTA20123002
DEV_CTA20150001,CTA20150001,CTA20150001,1,AUGUSTANA HOMES,525 PALISADE AVENUE,BRIDGEPORT,CT,13-003-T4,2015,2013,186,184,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CTA20150001,CTA20150001
DEV_CTA20150001,CTA20150001,CTA00000009,2,AUGUSTANA HOMES,525 PALISADE AVE,BRIDGEPORT,CT,TEMP194,8888,8888,325,325,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CTA20150001,CTA20150001
DEV_DCB20110805,DCB20110805,DCB20119815,1,MILESTONE APTS-SHERMAN (NEW BEGINNINGS),"2922 SHERMAN AVENUE, NW",WASHINGTON,DC,DCB2011060,2011,2009,15,15,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_DCB20110805,DCB20110805
DEV_DCB20110805,DCB20110805,DCB20110805,2,MILESTONE APTS-SHERMAN (NEW BEGINNINGS),2922 SHERMAN AVE NW,WASHINGTON,DC,DCB2011060-1602,2011,2011,15,15,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_DCB20110805,DCB20110805
DEV_DCB20110808,DCB20110808,DCB20119812,1,MILESTONE APTS-MARIAN RUSSELL,"115 16TH STREET, NE",WASHINGTON,DC,DCB2011045,2011,2010,10,10,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_DCB20110808,DCB20110808
DEV_DCB20110808,DCB20110808,DCB20110808,2,MILESTONE APTS-MARIAN RUSSELL,115 16TH ST NE,WASHINGTON,DC,DCB2011045-1602,2011,2011,12,10,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_DCB20110808,DCB20110808
DEV_DEA19970030,DEA19970030,DEA19970030,1,PERSIMMON TREE,500 PERSIMMON TREE LN,DOVER,DE,DE-97-02001-02007,1997,1997,95,95,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_DEA19970030,DEA19970030
DEV_DEA19970030,DEA19970030,DEA19979004,2,PERSIMMON TREE,500 PERSIMMON TREE LN #211,DOVER,DE,DE162FY9714,1997,1997,96,95,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_DEA19970030,DEA19970030
DEV_DEA20141002,DEA20141002,DEA20141002,1,WALNUT STREET APARTMENTS AKA JAZZ COURT,313 E FOURTEENTH STREET,WILMINGTON,DE,DE416FY1304,2014,2012,44,43,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_DEA20141002,DEA20141002
DEV_DEA20141002,DEA20141002,DEA20147004,2,WALNUT STREET APARTMENTS AKA JAZZ COURT,313 E FOURTEENTH STREET,WILMINGTON,DE,DE165FY9803,2014,2013,44,43,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_DEA20141002,DEA20141002
DEV_FLA19940809,FLA19940809,FLA19949810,1,CANOPY PLACE,11050 HARTS ROAD,JACKSONVILLE,FL,273,1994,1993,150,150,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_FLA19940809,FLA19940809
DEV_FLA19940809,FLA19940809,FLA19940809,2,CANOPY PLACE,11050 HARTS RD,JACKSONVILLE,FL,273,1994,1994,150,150,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_FLA19940809,FLA19940809
DEV_FLA19950811,FLA19950811,FLA19950811,1,VALENCIA PARK,532 PARK TREE TER,ORLANDO,FL,882,1995,1995,208,208,accept,same_property_recapitalization,retain_provisional_group,DEV_FLA19950811,FLA19950811
DEV_FLA19950811,FLA19950811,FLA20213017,2,VALENCIA PARK,532 PARK TREE TERRACE,ORLANDO,FL,FL-93-882,2021,2024,208,208,accept,same_property_recapitalization,retain_provisional_group,DEV_FLA19950811,FLA19950811
DEV_FLA20040180,FLA20040180,FLA20040180,1,BRENTON AT ABBEY PARK,1921 ABBEY RD,WEST PALM BEACH,FL,1137,2004,2004,160,160,accept,same_property_recapitalization,retain_provisional_group,DEV_FLA20040180,FLA20040180
DEV_FLA20040180,FLA20040180,FLA20204005,2,BRENTON AT ABBEY PARK,1921 ABBEY ROAD,WEST PALM BEACH,FL,FL-02-1137,2020,2024,160,160,accept,same_property_recapitalization,retain_provisional_group,DEV_FLA20040180,FLA20040180
DEV_GAA00000042,GAA00000042,GAA00000042,1,MARY-LEILA LOFTS,316 N W ST,GREENSBORO,GA,GA1012-476,8888,2013,71,71,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA00000042,GAA00000042
DEV_GAA00000042,GAA00000042,GAA20160110,2,MARY-LEILA LOFTS,316 N WEST ST,GREENSBORO,GA,2013-052,2016,2014,71,71,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA00000042,GAA00000042
DEV_GAA19890020,GAA19890020,GAA19890020,1,COUNTRY GROVE,684 PLAZA TRCE,MONROE,GA,GA-89-002,1989,1989,48,48,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19890020,GAA19890020
DEV_GAA19890020,GAA19890020,GAA20220008,2,COUNTRY GROVE,686 PLAZA TRACE,MONROE,GA,2020-522,2022,1990,47,47,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19890020,GAA19890020
DEV_GAA19900180,GAA19900180,GAA19900180,1,EAST ORCHARD FAMILY,752 NANCY DR,HARTWELL,GA,GA-90-017,1990,1990,24,23,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19900180,GAA19900180
DEV_GAA19900180,GAA19900180,GAA20240015,2,EAST ORCHARD FAMILY,110 NANCY DRIVE,HARTWELL,GA,2021-009,2024,1990,24,23,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19900180,GAA19900180
DEV_GAA19900240,GAA19900240,GAA19900240,1,ROCK SPRINGS APARTMENTS,604 BOSS HARDY RD,WINDER,GA,GA-89-011,1990,1989,48,48,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19900240,GAA19900240
DEV_GAA19900240,GAA19900240,GAA20190013,2,ROCK SPRINGS APARTMENTS,187 SOUTH BROAD ST,WINDER,GA,2017-559,2019,2017,48,48,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19900240,GAA19900240
DEV_GAA19910100,GAA19910100,GAA19910100,1,EAST ORCHARD ELDERLY,750 NANCY DR,HARTWELL,GA,GA-89-114,1991,1989,24,24,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19910100,GAA19910100
DEV_GAA19910100,GAA19910100,GAA20220011,2,EAST ORCHARD ELDERLY,110 NANCY DRIVE,HARTWELL,GA,2020-523,2022,2020,24,24,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19910100,GAA19910100
DEV_GAA19940160,GAA19940160,GAA19940160,1,SABLE CHASE,102 SABLE CHASE BLVD,MCDONOUGH,GA,GA-92-012,1994,1992,152,151,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19940160,GAA19940160
DEV_GAA19940160,GAA19940160,GAA19940165,2,SABLE CHASE,200 SABLE CHASE BLVD,MCDONOUGH,GA,GA-92-060,1994,1992,72,71,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19940160,GAA19940160
DEV_GAA19940160,GAA19940160,GAA19940245,3,SABLE CHASE,200 SABLE CHASE BLVD,MCDONOUGH,GA,2014-502,1994,1993,225,96,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19940160,GAA19940160
DEV_GAA19960085,GAA19960085,GAA19960085,1,FAIR OAKS LANE APARTMENTS,401 LISA ST,RINCON,GA,GA-94-003,1996,1994,44,44,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19960085,GAA19960085
DEV_GAA19960085,GAA19960085,GAA20240076,2,FAIR OAKS LANE APARTMENTS,401 LISA STREET #200,RINCON,GA,2022-053,2024,2022,44,44,accept,same_property_recapitalization,retain_provisional_group,DEV_GAA19960085,GAA19960085
DEV_GAA19970105,GAA19970105,GAA19970105,1,OAK HILL APARTMENT,105 OAK HILL DR #1000,ATHENS,GA,GA-95-092,1997,2002,220,132,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA19970105,GAA19970105
DEV_GAA19970105,GAA19970105,GAA20030250,2,OAK HILL APARTMENT,105 OAK HILL DR #1000,ATHENS,GA,GA2002-531,2003,2002,220,220,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA19970105,GAA19970105
DEV_GAA19970800,GAA19970800,GAA19970800,1,BRIER CREEK APARTMENTS (NEW),535 BRIER CREEK CT,MILLEN,GA,1996-094,1997,1996,28,28,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19970800,GAA19970800
DEV_GAA19970800,GAA19970800,GAA20157150,2,BRIER CREEK APARTMENTS (NEW),535 BRIER CREEK CT,MILLEN,GA,2014-507,2015,2014,29,29,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_GAA19970800,GAA19970800
DEV_GAA20020105,GAA20020105,GAA20020105,1,ARBOR LAKE,431 KIRKLAND RD,COVINGTON,GA,2001-501,2002,2001,250,250,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA20020105,GAA20020105
DEV_GAA20020105,GAA20020105,GAA20029006,2,ARBOR LAKE,431 KIRKLAND RD,COVINGTON,GA,2018-540,2002,2001,250,249,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_GAA20020105,GAA20020105
