mixed_site_question_id,development_id,development_name,development_anchor_hud_id,first_pis_year,last_pis_year,episode_unit_count_max,n_units_development,complete_site_key_examples,review_cluster_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,cluster_status,member_action,episode_to_property_bridge_status,shared_geocoding_query_decision,source_rows_changed
MSIR_0024,DEV_KYA19969574,VAUGHN VILLAGE II APTS,KYA19969574,1996,1996,24,24,KY|1119 NORTHRIDGE DR|ELIZABETHTOWN | KY|CRIMSON CREEK CT|ELIZABETHTOWN,MSIC_00032,DEV_KYA19960155,KYA19960155,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0025,DEV_MDA20030087,VILLAS AT WHITEHALL,MDA20030087,2003,2003,70,70,MD|100 111 SKIPJACK CT|ELKTON | MD|100 SKIPJACK CT|ELKTON | MD|200 211 SKIPJACK CT|ELKTON | MD|300 311 SKIPJACK CT|ELKTON | MD|400 409 SKIPJACK CT|ELKTON | MD|500 511 SKIPJACK CT|ELKTON | MD|600 611 SKIPJACK CT|ELKTON,MSIC_00033,DEV_MDA20030087,MDA20030087,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0025,DEV_MDA20039101,THE VILLAS AT WHITEHALL,MDA20039101,2003,2003,70,70,MD|100 111 SKIPJACK CT|ELKTON,MSIC_00033,DEV_MDA20030087,MDA20030087,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0026,DEV_MSA20130013,OAKWOOD APTS & MAPLEWOOD APTS,MSA20130013,2013,2013,48,48,MS|1062 WHITFIELD RD|BEAUMONT,MSIC_00034,DEV_MSA20130013,MSA20130013,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0026,DEV_MSA20150024,OAKWOOD APTS AND MAPLEWOOD APTS.,MSA20150024,2015,2015,48,48,MS|1062 WHITFIELD RD|BEAUMONT | MS|1115 SECOND ST|BEAUMONT,MSIC_00034,DEV_MSA20130013,MSA20130013,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0027,DEV_MTA20090027,MOUNTAIN VIEW III,MTA20090027,2009,2009,46,46,MT|251 STONEGATE DR|HAMILTON,MSIC_00035,DEV_MTA20090027,MTA20090027,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0027,DEV_MTA20098005,MOUNTAIN VIEW III - HAMILTON,MTA20098005,2009,2009,46,46,MT|150 PINTAIL LOOP|HAMILTON | MT|160 PINTAIL LOOP|HAMILTON | MT|225 STONEGATE DR|HAMILTON | MT|229 STONEGATE DR|HAMILTON | MT|251 STONEGATE DR|HAMILTON,MSIC_00035,DEV_MTA20090027,MTA20090027,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0028,DEV_NCA19940360,HORSE CREEK APTS,NCA19940360,1994,1994,4,4,NC|649 N MAIN ST|WARRENTON,MSIC_00036,DEV_NCA19940360,NCA19940360,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0028,DEV_NCA19949091,PWN HORSE CREEK APTS,NCA19949091,1994,1994,4,4,NC|102 HORSE CREEK RD|WARRENTON | NC|649 651 653 N MAIN ST|WARRENTON | NC|649 N MAIN ST|WARRENTON | NC|651 N MAIN ST|WARRENTON | NC|653 N MAIN ST|WARRENTON,MSIC_00036,DEV_NCA19940360,NCA19940360,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0029,DEV_NCA19910320,MENLO PARK,NCA19910320,1991,1992,2,,NC|1703 TENTH ST|GREENSBORO | NC|1705 B TENTH ST|GREENSBORO | NC|1705 TENTH ST|GREENSBORO | NC|1707 A B TENTH ST|GREENSBORO | NC|1707 TENTH ST|GREENSBORO | NC|1709 TENTH ST|GREENSBORO | NC|1711 TENTH ST|GREENSBORO | NC|1802 A B TUCKER ST|GREENSBORO | NC|1802 TUCKER ST|GREENSBORO | NC|1804 TUCKER ST|GREENSBORO,MSIC_00037,DEV_NCA19910320,NCA19910320,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0029,DEV_NCA19910325,MENLO PARK,NCA19910325,1991,1991,2,2,NC|1707 TENTH ST|GREENSBORO,MSIC_00037,DEV_NCA19910320,NCA19910320,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0030,DEV_NCA19930370,STEVENS APTS,NCA19930370,1993,1993,12,12,NC|1613 MCPHERSON ST|GREENSBORO,MSIC_00038,DEV_NCA19930370,NCA19930370,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0030,DEV_NCA19939053,PWE STEVENS APTS,NCA19939053,1993,1993,12,12,NC|1613 1615 1617 MCPHERSON ST|GREENSBORO | NC|1613 MCPHERSON ST|GREENSBORO | NC|1615 MCPHERSON ST|GREENSBORO | NC|1617 MCPHERSON ST|GREENSBORO,MSIC_00038,DEV_NCA19930370,NCA19930370,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0031,DEV_NDA19950030,COMMONS AT 45TH I,NDA19950030,1995,1995,32,32,ND|435 22ND ST E|WEST FARGO,MSIC_00039,DEV_NDA19950030,NDA19950030,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0031,DEV_NDA19959015,RATTENBORG COURT,NDA19959015,1995,1995,32,32,ND|415 22ND ST E|WEST FARGO | ND|425 22ND ST E|WEST FARGO | ND|435 22ND ST E|WEST FARGO,MSIC_00039,DEV_NDA19950030,NDA19950030,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0032,DEV_NDA19930020,MAYBROOK APTSNT,NDA19930020,1993,1993,30,30,ND|3219 18TH ST S|FARGO,MSIC_00040,DEV_NDA19930020,NDA19930020,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0032,DEV_NDA19939002,MAYBROOK APARTMENTS,NDA19939002,1993,1993,30,30,ND|3219 18TH ST S|FARGO | ND|3219 S 18TH ST|FARGO,MSIC_00040,DEV_NDA19930020,NDA19930020,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0033,DEV_NDA20050015,STANDING ROCK REHAB #9,NDA20050015,2005,2005,20,20,ND|5562 GRASS ST|FORT YATES,MSIC_00041,DEV_NDA20050015,NDA20050015,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0033,DEV_NDA20059004,STANDING ROCK MODERNIZATION PROJECT #9,NDA20059004,2005,2005,20,20,ND|5109 2ND AVE|CANNONBALL | ND|5192 GOLDEN EAGLE AVE|FORT YATES | ND|5195 BEAR ST|FORT YATES | ND|5204 WALLEYE ST|FORT YATES | ND|5329 HAWK AVE|FORT YATES | ND|5331 HAWK AVE|FORT YATES | ND|5509 WHITE TAIL ST|FORT YATES | ND|5511 WHITE TAIL ST|FORT YATES | ND|5550 WARRIOR ST|FORT YATES | ND|5553 RED FISH ST|FORT YATES | ND|5560 GRASS ST|FORT YATES | ND|5562 GRASS ST|FORT YATES | ND|5564 GRASS ST|FORT YATES | ND|5609 GRASS ST|FORT YATES | ND|5611 GRASS ST|FORT YATES | ND|5614 WARRIOR ST|FORT YATES | ND|5628 HORSESHOE RD|CANNONBALL | ND|5630 HORSESHOE RD|CANNONBALL | ND|5635 HORSESHOE RD|CANNONBALL | ND|5642 WARRIOR ST|FORT YATES,MSIC_00041,DEV_NDA20050015,NDA20050015,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0034,DEV_NDA20070040,STANDING ROCK REHAB #12,NDA20070040,2007,2007,39,39,ND|DOUG SKYE COMPLEX S RIVER RD|FORT YATES,MSIC_00042,DEV_NDA20070040,NDA20070040,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0034,DEV_NDA20079010,STANDING ROCK REHABILITATION PROJECT #12,NDA20079010,2007,2007,39,39,ND|BLDG C S RIVER RD|FORT YATES | ND|DOUG SKYE COMPLEX S RIVER RD|FORT YATES,MSIC_00042,DEV_NDA20070040,NDA20070040,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
